"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"High Peak Citizens Advice Bureau","1087705",0,"Derbyshire Districts Citizens Advice Bureau","1094369",0,"2013-08-07","2013-07-31","2014-08-20"
"Hill Park Autistic Trust","1116469",0,"Larkfield With Hill Park Autistic Trust Limited","307894",0,"","2013-08-30","2014-05-23"
"Hillingdon Crossroads Caring For Carers","1091464",0,"Carers Trust Thames","1090361",0,"2013-01-06","2013-01-06","2014-10-20"
"Hillside Charitable Trust","801465",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
"Hillsview Trust","1032356",0,"Home Group Limited (exempt charity, registered social landlord L3076)","","","","2008-12-16","2008-12-29"
"Hinchley Charitable Trust","281178",0,"Hinchley Charitable Trust","1108412",0,"","2007-12-19","2010-04-14"
"Hinxworth Sunday School And Reading Room","249718",0,"(Share Of) The Charity Of Jane Brooks - Hinxworth","254955",0,"2014-09-15","2014-01-10","2014-06-10"
"Holiness Unto the Lord International Church","1135719",0,"Holiness Unto the Lord Internatinal Chruch","1143113",0,"","2011-01-09","2011-10-31"
"Hollies Pre-School","1028056",0,"The Hollies Preschool Limited","1128799",0,"","2009-06-23","2009-06-23"
"Holmcroft Youth and Community Centre","1074720",0,"Holmcroft Youth & Community Centre","1140305",0,"","2011-03-31","2011-01-06"
"Home Start (Sutton Coldfield)","1022575",0,"Home-Start Birmingham-North West","1157767",0,"","2015-01-04","2017-05-18"
"Home Start South Suffolk & District","1107915",0,"Home Start in Suffolk","1105001",0,"","2017-01-07","2018-06-18"
"Home-Start Butetown Grangetown Riverside Ltd","1162161",0,"Home-Start Cardiff","1125591",0,"2017-01-04","2017-01-04","2018-07-04"
"Home-Start East Cambs and South Fenland  Home-Start West Cambridge and North Fenland","1106772",0,"Home-Start Cambridge and District","1106007",0,"2014-03-31","2014-03-31","2014-04-04"
"Home-Start Hounslow","1160686",0,"Home-Start Richmond Upon Thames","1108975",0,"","2017-01-04","2017-04-19"
"Home-Start Mid Suffolk","289687",0,"Home-Start Mid Suffolk","1127760",0,"","2010-04-06","2010-09-11"
"Home-Start West Lancashire","1070429",0,"Home-Start Central Lancashire Ltd","1105739",0,"","2013-01-08","2014-08-22"
"Hope Christian Centre, Rothwell","1054424",0,"Reachout Community Church","1119323",0,"","2007-08-17","2008-09-23"
"Hope Community Church, Newtown","1052023",0,"Hope Community Church (Newtown)","1126096",0,"","2008-02-28","2010-06-24"
"Hope Corner","1051787",0,"Hope Corner","1138720",0,"","2011-01-28","2011-02-17"
"Horsell Village Hall","1106589",0,"Horsell Village Hall CIO","1160600",0,"2015-02-11","2016-06-30","2016-08-07"
"Horsham and Crawley Counselling Service","1039278",0,"Sussex Central YMCA","1079570",0,"","2011-10-03","2011-10-24"
"Horsham Volunteer Bureau (Horsham Volunteer Centre)","1087258",0,"Horsham Area Council for Voluntary Service (HACVS)","1117718",0,"","2009-01-01","2009-12-01"
"Horsham YMCA","1073778",0,"YMCA Downslink Group","1079570",0,"","2014-08-09","2015-08-07"
"Hospice at Home Volunteers (Luton)","803145",0,"Keech Hospice Care","1035089",0,"","2010-10-08","2011-04-01"
"Hospice Care Kenya","1001709",0,"Hospice Care Kenya Limities","1141469",0,"","2011-06-27","2011-09-15"
"Hospice Home Support","1024866",0,"Phyllis Tuckwell Memorial Hospice Ltd","264501",0,"","2014-01-04","2014-06-05"
"Hospital of God/Greatham Hospital","228571",0,"The Hospital of God at Greatham","1123540",0,"","2009-03-26","2009-03-26"
"House Of Hope Nepal","1083224",0,"Global Action Nepal","1090773",0,"","2016-01-01","2016-06-01"
"House Of Praise Trust","1047586",0,"House Of Praise Trust","1172998",0,"2017-06-12","2017-06-12","2018-01-29"
"Housing Interaction Trust","1087717",0,"Connection Oxford","1049740",0,"","2016-12-04","2016-04-20"
"Housing Young People in Shrewbury Project","1018558",0,"Shropshire Housing Alliance","1124644",0,"2009-03-13","2009-01-04","2011-06-07"
"Hoxton Hall Friends Neighbourhood Centre and Theatre","274080",0,"Hoxton Hall","1107196",0,"","2011-04-10","2012-05-01"
"HSBC Bank (UK) Pensioners' Association Benevolent Fund","209576",0,"The Bankers Benevolent Fund","313080",0,"","2013-06-26","2013-06-26"
"Hubberton and Hakin Community Centre","254415",0,"Hubberton and Hakin Community Centre","1168883",0,"2018-02-07","2018-02-07","2018-02-10"
"Huddersfield and District Temperance Union","516250",0,"Yorkshire Band of Hope Union","227228",0,"","2005-08-12","2009-02-03"
"Hull Fishermen's Trust Fund","226532",0,"The Shipwrecked Fishermen and Mariners Royal Benevolent Society","212034",0,"","2007-06-30","2007-12-20"
"Humber Seafarers Service","507824",0,"Humber Seafarers Service Limited","1159953",0,"2015-03-31","2015-03-31","2015-04-13"
"Hunters Moor Hospital Fund","502473","6","Newcastle Healthcare Charity","502473","1","","2009-04-20","2009-06-17"
"Huntingdonshire Football Association Benevolent Fund","1127240",0,"Huntingdonshire Football Associaton Limited","1166644",0,"2017-03-24","2017-03-24","2017-03-31"
"Hurst Green Evangelical Church","1163806",0,"Hurst Green Evangelical Church","1170241",0,"","2017-09-29","2017-12-12"
"I.I Foundation","1133034",0,"International Inspiration","1139074",0,"","2013-01-31","2013-08-14"
"Ichthyosis Support Group","1142457",0,"Ichthyosis Support Group 1084783","","","","2011-06-29","2012-06-13"
"ICIS: Information For Life","1095945",0,"Helplines Partnership","1125840",0,"2012-12-20","2013-03-31","2014-08-15"
"Ilfracombe Christian Fellowship","1106383",0,"Ilfracombe Christian Fellowship","1145236",0,"2012-04-17","2012-04-17","2012-04-25"
"Imam Ali Foundation","1075650",0,"Imam Ali Foundation","1172217",0,"","2017-04-15","2017-06-19"
"Immingham","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Independent Opera Charitable Trust","1117559",0,"Independent Opera","1162432",0,"","2015-09-30","2016-05-24"
"Information Services Charity Limited/Resource Information Services","289076",0,"Homeless Link","1089173",0,"2009-03-31","2009-03-31","2009-08-05"
"Inspirit Care Limited","1106852",0,"Community Integrated Care","519996",0,"2014-03-31","2014-03-31","2014-02-04"
"Institute Of Healthcare Management Benevolent Fund","208225",0,"Royal Society For Public Health","1125949",0,"","2015-01-12","2016-11-01"
"Institute of Plastic Surgery Research and Education","1127665",0,"Institute of Plastic Surgery and Education 1","1140479",0,"","2011-04-16","2011-01-07"
"Interact Worldwide","1001698",0,"Plan International UK","276035",0,"2013-06-30","2013-06-30","2013-02-10"
"International Bar Association Educational Trust","287324",0,"IBA Charitable Trust","1112282",0,"","2009-09-17","2010-11-01"
"International Bible Society (UK)","285319",0,"IBS-STL UK","270162",0,"","2007-05-31","2008-01-22"
"International Centre for Child Studies Limited","284261",0,"Longview","1114094",0,"","2007-11-30","2007-12-17"
"International Fiscal Association UK Congress Trust","268536",0,"International Fiscal Association UK Congress Trust","1162512",0,"2016-01-04","2016-01-04","2016-04-27"
"International Inspiration","1139074",0,"United Purpose","272465",0,"2016-10-31","2016-10-31","2016-11-21"
"International Presbyterian Church Ealing","1135261",0,"International Presbyterian Church Ealing","1171604",0,"2017-03-13","2017-03-13","2017-03-31"
"International Society for the Evangelization of the Jews","207577",0,"Christian Witness to Israel","271323",0,"","2002-01-03","2009-03-25"
"Ipswich Furniture Project","801287",0,"Ipswich Furniture Project","1151719",0,"","2014-01-01","2014-06-25"
"Irish Guards Association Central Fund","247476",0,"Irish Guards Benevolent Fund","247477",0,"2012-11-20","2012-12-31","2014-05-28"
"Irthlingborough Christian Centre","1054427",0,"Reachout Community Church","1119323",0,"","2007-08-17","2008-09-23"
"Islington Bangladesh Association","1088615",0,"Islington Bangladesh Association","1148834",0,"2013-04-22","2013-10-05","2013-10-05"
"Islington Narrow Boat Association","271457",0,"Angel Community Canal Boat Trust","1103542",0,"","2005-03-31","2008-01-28"
"Islington Victim Support","275259",0,"Victim Support","298028",0,"","2008-06-30","2009-06-16"
"Islington Volunteer Centre/Volunteer Centre Islington (IVC)","1069270",0,"Islington Voluntary Action Council Limited (IVAC)","291890",0,"2009-03-17","2009-03-31","2009-04-29"
"Islington Women's Aid (unregistered, ref 3944686)","","","Solace Women's Aid","1082450",0,"","2007-01-06","2008-12-19"
"Itchenor Memorial Hall","305439",0,"Itchenor Memorial Hall","1170367",0,"2017-03-16","2017-03-16","2017-04-05"
"J Fox Williams","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"J Millar Mem","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Jackson Memorial Prize Fund","1125485","37","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Jackson's Charitable Trust","328114",0,"The Jack Goldhill Charitable Trust","267018",0,"","2011-04-04","2011-05-04"
"James Wilcock Trust","222341",0,"West Pennine Moors Methodist Circuit","1132674",0,"","2017-07-27","2017-08-21"
"Jane Austen memorial Trust","307252",0,"Jane Austen's House Museum","1156458",0,"2014-06-30","2014-06-30","2015-03-17"
"Japan Christian Link","213834",0,"Japan Christian Link","1164572",0,"","2016-04-10","2016-07-10"
"Japanese Seamen","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Jessie Henman","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"John Ellett Otherwise Known As John Smith","","","The Eleemosynary Charity Of Medley, Sterne And Woodhouse","209955",0,"","2011-11-26","2012-06-13"
"John Oliver","237613",0,"Whitnell Collens Parrott Charity","237608",0,"","2014-01-15","2014-01-15"
"Johnstone Memorial Home Endowment","226168","9","OMF International (UK)","1086040",0,"","2009-01-07","2009-05-11"
"Joint Association of Classical Teachers","313165",0,"Joint Association of Classical Teachers","1137562",0,"","2011-01-01","2011-01-18"
"Jo's Trust","1076829",0,"Jo's Cervical Cancer Trust","1133542",0,"","2010-01-05","2010-12-14"
"Joseph Levy Charitable Foundation","245592",0,"Joseph Levy Foundation","1165225",0,"2016-11-03","2016-11-03","2017-04-19"
"Joseph Lowcock","244261","1","The Friends of Richmond Friary Community Hospital","507777",0,"","2009-10-06","2009-06-30"
"Josiah and Mary Brewster Charity","226380",0,"The Josiah and Mary Brewster Charitable Fund","1160175",0,"","2015-06-30","2014-10-14"
"Jubilee Church","283611",0,"Jubilee Church CIO","1154108",0,"","2014-03-31","2014-06-10"
"Jubilee Church, Derby","1097142",0,"Jubilee Church Derby","1162660",0,"2017-12-01","2016-01-04","2017-01-18"
"Jubilee Scholarship Fund","1125485","28","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Junius S Morgan Benevolent Fund","206126",0,"Junius S Morgan Benevolent Fund","1131892",0,"","2009-12-31","2009-12-31"
"Kairos Trust","279068",0,"Friends International Ministries","1094095",0,"","2010-01-01","2010-01-01"
"Kangaroos","1041988",0,"Kangaroos Mid Sussex","1150202",0,"","2013-11-10","2013-11-10"
"Kasanka Trust","1002367",0,"The Kasanka Trust","1097560",0,"","2003-06-30","2009-03-19"
"Keighley Leisure Library","1071103",0,"Shipley Leisure Library","1025768",0,"","2009-06-04","2009-03-23"
"Kenley Memorial Hall","236951",0,"Kenley Memorial Hall CIO","1173776",0,"2017-12-16","2017-12-16","2018-07-04"
"Kent Association for the Blind (Herne Bay Branch)","","","Kent Association for the Blind","1062354",0,"","2011-04-03","2011-04-13"
"Kent Kids Miles of Smiles","1018320",0,"Strode Park Foundation for People with Disabilities","227794",0,"2011-01-04","2011-01-04","2011-05-04"
"Kenyon Hall","259519",0,"Kenyon Hall, Holt","1165186",0,"2016-03-14","2016-03-14","2017-11-01"
"Keswick Choral Society","1121399",0,"Keswick Choral Society","1161762",0,"2017-03-10","2017-07-11","2017-11-29"
"Kettering Citizens' Advice Bureau","293503",0,"Kettering Citizens Advice Bureau","1131133",0,"","2009-09-30","2009-12-21"
"Key to Life Church","1050623",0,"Edge Church International","1123123",0,"","2008-06-24","2009-04-28"
"Kids In The Middle","1153731",0,"The Family Initiative","1170660",0,"","2018-09-08","2018-10-27"
"Kids Kidney Research","266630",0,"Kidney Research UK","252892",0,"","2017-08-31","2017-10-13"
"King David Foundation","526377",0,"King David And Harold House Foundation","1146507",0,"2012-01-05","2012-01-05","2013-11-07"
"King Edward VII Children's Convalescent Trust Fund","234078",0,"Victoria Convalescent Trust","1064585",0,"","1997-09-06","2010-11-03"
"King George's Field - Hughenden","1084121",0,"Hughenden Valley Village Hall","300282",0,"","2017-03-07","2017-04-07"
"King's Christian Centre","1052746",0,"KCC Birmingham","1133824",0,"","2010-03-31","2010-04-05"
"King's Church Darlington","515889",0,"Kings Church Darlington","1113455",0,"","2006-01-04","2009-02-06"
"King's Church Ilford Trust  King's Church Enfield","1050262",0,"Jubilee Chuch London","1160372",0,"2018-01-04","2018-12-09","2018-12-18"
"Kingston YMCA Care in the Community Limited","1045613",0,"Kingston & Wimbledon YMCA","1041923",0,"","2005-02-14","2008-11-02"
"Kington Langley Village Hall","1002086",0,"Kington Langley Village Hall and Recreation Ground CIO","1165128",0,"2016-03-31","2016-03-31","2016-04-19"
"Kirby-le-Soken Evangelical Church","","","Kirby-le-Soken Evangelical Church","1170625",0,"2017-02-20","2017-02-28","2017-08-05"
"Kiveton Park Independent Advice Centre","513853",0,"Kiveton Park Independent Advice Centre","1171863",0,"","2017-12-06","2017-06-26"
"Lancashire Hussars Yeomanry Trust","252121",0,"Royal Artillery Charitable Fund (Permanent Endowment)","210202","18","","2008-01-01","2008-01-01"
"Latex Allergy Support Group","1104845",0,"Anaphylaxis Campaign (Incorporating The Latex Allergy Support Group)","1085527",0,"","2016-01-20","2016-04-28"
"Launch Princess Elizabeth","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Lawther Foundation","1046253",0,"Surrey Community Foundation","1111600",0,"","2010-03-25","2010-03-29"
"Lazonby Village Hall","520333",0,"Lazonby Village Hall","1169785",0,"2017-10-31","2017-10-31","2018-04-16"
"Leadership Training Resources","800940",0,"World in Need International Ltd","1041711",0,"","2007-01-04","2009-04-02"
"League of Friends of Birmingham Children's Hospital","216600",0,"Birmingham Children's Hospital Charity","1160875",0,"","2015-06-16","2015-06-17"
"League of Friends of Bristol Royal Infirmary","1019098",0,"Above and Beyond Appeal","229945","17","","2013-08-01","2013-05-15"
"League of Friends of Halstead Hospital","291064",0,"The League of Friends of Halstead Hospital Limited","1121313",0,"2008-04-28","2009-02-01","2009-02-19"
"League of Friends of Odiham Cottage Hospital","258638",0,"Odiham Cottage Hospital Charitable Trust","1068721",0,"","2014-01-06","2014-07-17"
"Learning Disabilities Resources Ltd","1127905",0,"Scope","208231",0,"","2014-01-31","2014-02-26"
"Leatherhead And District Local History Society","802409",0,"Leatherhead & District Local History Society CIO","1175119",0,"2017-11-20","2018-01-01","2018-06-20"
"Leeds Association","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Leeds General Infirmary Special Trustees Charitable Fund","1075308","1","Leeds General Infirmary General Purpose Fund","1075308","14","","2000-01-04","2017-10-03"
"Leeds Islamic Centre","503649",0,"Leeds Islamic Centre","1142605",0,"","2011-06-30","2014-05-12"
"Leeds Jewish Blind Society","1028806",0,"Leeds Jewish Welfare Board","1041257",0,"","2017-06-06","2017-07-17"
"Leeds Judean Club for Boys and Girls","523753",0,"The Leeds Judean Club for Boys and Girls","1125503",0,"","2008-10-31","2009-07-01"
"Leeds Respite Centre","1034314",0,"Alzheimer's Society","296645",0,"","2014-02-27","2014-02-04"
"Leeds St James's Special Trustees Linked Charity","1075308","2","Leeds St James's University Hospital Services Charity","1075308","16","","2000-01-04","2017-10-03"
"Leeds Trademen's Trust","222866",0,"Community Foundation for Leeds","1096892",0,"","2013-03-31","2013-04-23"
"Legrams Number 2 Charitable Trust","327293",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"Leicestershire AIDS Support Services","1023914",0,"LASS (Responding To The Challenge Of Health And AIDS)","1171488",0,"2017-06-23","2017-06-23","2017-07-17"
"Lenham Parish Hall","302784",0,"Lenham Community Centre","1166995",0,"2016-06-13","2016-07-30","2016-02-08"
"Leominster Museum Trust","527244",0,"Leominster Museum CIO","1162600",0,"2016-03-18","2016-03-18","2017-01-30"
"Leuka","286231",0,"Leuka","1154856",0,"","2014-03-31","2014-03-31"
"Lewisham Victim Support Scheme","1042159",0,"Victim Support","298028",0,"2008-01-04","2008-03-31","2009-11-26"
"Lewsey Christian Centre","1054317",0,"Lewsey Christian Centre","1132151",0,"","2010-01-05","2010-07-09"
"Leydenhatch Charitable Trust","1026246",0,"Central Hardship and Relief Fund","801465",0,"","2009-09-30","2009-09-30"
