company_number,charity_number
CE005465,1164073
CE013105,1176944
CE009418,1170805
CE015915,1181170
CE008947,1171369
CE014931,1179633
CE016032,1181330
CE002944,1160334
CE000608,1153048
CE015809,1181002
CE007951,1169389
CE006355,1167119
CE009050,1171528
CE001824,1156813
CE010028,1172538
CE010735,1174188
CE008537,1168742
CE009364,1170722
CE002619,1159906
CE002739,1160624
CE008461,1170021
CE012406,1175863
CE000007,1150538
CE002808,1160054
CE008373,1169871
CE013165,1177034
CE006019,1165125
CE014794,1179435
CE007021,1168235
CE008518,1168715
CE004358,1163195
CE006626,1166975
CE001695,1158370
CE004614,1163430
CE003674,1160832
CE009848,1172445
CE013717,1177823
CE012354,1174864
CE008268,1169713
CE012023,1175644
CE001451,1154789
CE009039,1171511
CE002049,1157331
CE004389,1163249
CE004361,1163202
CE005750,1164625
CE015885,1181129
CE006933,1166068
CE001125,1156298
CE004959,1162537
CE016063,1181378
CE013522,1177533
CE001000,1155973
CE006659,1165634
CE013651,1177725
CE015749,1180917
CE001832,1156830
CE013712,1177812
CE014473,1178667
CE012565,1176124
CE005499,1164137
CE000389,1151890
CE015716,1180868
