org_id_a,org_id_b,name
GB-SC-SC011149,GB-COH-SC394587,HARRIS MUTUAL IMPROVEMENT ASSOCIATION
GB-SC-SC011222,GB-COH-SC054297,SCRIPTURE UNION SCOTLAND
GB-SC-SC011227,GB-COH-SC093464,HIGHLAND HOSPICE
GB-SC-SC011330,GB-COH-SC036524,CAPABILITY SCOTLAND
GB-SC-SC011370,GB-COH-SC280850,HOME-START CLACKMANNANSHIRE
GB-SC-SC011390,GB-COH-SC102741,THE AYRSHIRE HOSPICE
GB-SC-SC011440,GB-COH-SC129050,ULLASPOOL
GB-SC-SC011480,GB-COH-SC093836,POSSIL COMMUNITY BUSINESS LIMITED
GB-SC-SC011541,GB-COH-SC075515,ARDGOWAN HOSPICE LIMITED
GB-SC-SC011583,GB-COH-SC000358,THE INSTITUTION OF ENGINEERS IN SCOTLAND
GB-SC-SC011652,GB-COH-SC084712,BOYS' AND GIRLS' CLUBS OF SCOTLAND
GB-SC-SC011655,GB-COH-SC422575,CHARLOTTE BAPTIST CHAPEL LIMITED
GB-SC-SC011657,GB-COH-SC169302,DUNDEE CITIZENS ADVICE BUREAU
GB-SC-SC011678,GB-COH-SC210303,LIBERTUS SERVICES
GB-SC-SC011684,GB-COH-SC162089,GLASGOW ASSOCIATION FOR MENTAL HEALTH
GB-SC-SC011689,GB-COH-SC316350,FIFE WOMEN'S AID
GB-SC-SC011782,GB-COH-SC020194,STAPT LIMITED
GB-SC-SC011786,GB-COH-SC335170,STABLE LIFE
GB-SC-SC011810,GB-COH-SC105693,GEM WORKSPACES LIMITED
